image,type,class,center
normal_001.tif,normal,negative,0
normal_004.tif,normal,negative,0
normal_005.tif,normal,negative,0
normal_006.tif,normal,negative,0
normal_008.tif,normal,negative,0
normal_009.tif,normal,negative,0
normal_011.tif,normal,negative,0
normal_012.tif,normal,negative,0
normal_013.tif,normal,negative,0
normal_014.tif,normal,negative,0
normal_015.tif,normal,negative,0
normal_016.tif,normal,negative,0
normal_017.tif,normal,negative,0
normal_018.tif,normal,negative,0
normal_019.tif,normal,negative,0
normal_020.tif,normal,negative,0
normal_022.tif,normal,negative,0
normal_023.tif,normal,negative,0
normal_024.tif,normal,negative,0
normal_025.tif,normal,negative,0
normal_026.tif,normal,negative,0
normal_027.tif,normal,negative,0
normal_028.tif,normal,negative,0
normal_032.tif,normal,negative,0
normal_033.tif,normal,negative,0
normal_035.tif,normal,negative,0
normal_036.tif,normal,negative,0
normal_037.tif,normal,negative,0
normal_038.tif,normal,negative,0
normal_039.tif,normal,negative,0
normal_040.tif,normal,negative,0
normal_041.tif,normal,negative,0
normal_044.tif,normal,negative,0
normal_045.tif,normal,negative,0
normal_046.tif,normal,negative,0
normal_047.tif,normal,negative,0
normal_048.tif,normal,negative,0
normal_049.tif,normal,negative,0
normal_050.tif,normal,negative,0
normal_051.tif,normal,negative,0
normal_052.tif,normal,negative,0
normal_053.tif,normal,negative,0
normal_054.tif,normal,negative,0
normal_055.tif,normal,negative,0
normal_056.tif,normal,negative,0
normal_058.tif,normal,negative,0
normal_059.tif,normal,negative,0
normal_060.tif,normal,negative,0
normal_062.tif,normal,negative,0
normal_064.tif,normal,negative,0
normal_065.tif,normal,negative,0
normal_066.tif,normal,negative,0
normal_067.tif,normal,negative,0
normal_069.tif,normal,negative,0
normal_070.tif,normal,negative,0
normal_071.tif,normal,negative,0
normal_072.tif,normal,negative,0
normal_073.tif,normal,negative,0
normal_074.tif,normal,negative,0
normal_075.tif,normal,negative,0
normal_076.tif,normal,negative,0
normal_077.tif,normal,negative,0
normal_078.tif,normal,negative,0
normal_079.tif,normal,negative,0
normal_080.tif,normal,negative,0
normal_081.tif,normal,negative,0
normal_083.tif,normal,negative,0
normal_087.tif,normal,negative,0
normal_088.tif,normal,negative,0
normal_089.tif,normal,negative,0
normal_090.tif,normal,negative,0
normal_091.tif,normal,negative,0
normal_092.tif,normal,negative,0
normal_094.tif,normal,negative,0
normal_095.tif,normal,negative,0
normal_097.tif,normal,negative,0
normal_098.tif,normal,negative,0
normal_099.tif,normal,negative,0
normal_100.tif,normal,negative,0
normal_101.tif,normal,negative,1
normal_102.tif,normal,negative,1
normal_103.tif,normal,negative,1
normal_104.tif,normal,negative,1
normal_105.tif,normal,negative,1
normal_106.tif,normal,negative,1
normal_107.tif,normal,negative,1
normal_108.tif,normal,negative,1
normal_109.tif,normal,negative,1
normal_110.tif,normal,negative,1
normal_111.tif,normal,negative,1
normal_112.tif,normal,negative,1
normal_113.tif,normal,negative,1
normal_114.tif,normal,negative,1
normal_115.tif,normal,negative,1
normal_118.tif,normal,negative,1
normal_119.tif,normal,negative,1
normal_120.tif,normal,negative,1
normal_121.tif,normal,negative,1
normal_122.tif,normal,negative,1
normal_124.tif,normal,negative,1
normal_125.tif,normal,negative,1
normal_126.tif,normal,negative,1
normal_127.tif,normal,negative,1
normal_129.tif,normal,negative,1
normal_131.tif,normal,negative,1
normal_132.tif,normal,negative,1
normal_133.tif,normal,negative,1
normal_134.tif,normal,negative,1
normal_136.tif,normal,negative,1
normal_137.tif,normal,negative,1
normal_138.tif,normal,negative,1
normal_139.tif,normal,negative,1
normal_140.tif,normal,negative,1
normal_143.tif,normal,negative,1
normal_145.tif,normal,negative,1
normal_146.tif,normal,negative,1
normal_148.tif,normal,negative,1
normal_149.tif,normal,negative,1
normal_150.tif,normal,negative,1
normal_151.tif,normal,negative,1
normal_152.tif,normal,negative,1
normal_153.tif,normal,negative,1
normal_155.tif,normal,negative,1
normal_156.tif,normal,negative,1
normal_157.tif,normal,negative,1
normal_158.tif,normal,negative,1
normal_159.tif,normal,negative,1
normal_160.tif,normal,negative,1
tumor_001.tif,tumor,micro,0
tumor_002.tif,tumor,micro,0
tumor_003.tif,tumor,micro,0
tumor_004.tif,tumor,macro,0
tumor_005.tif,tumor,micro,0
tumor_006.tif,tumor,micro,0
tumor_007.tif,tumor,micro,0
tumor_008.tif,tumor,micro,0
tumor_009.tif,tumor,macro,0
tumor_010.tif,tumor,macro,0
tumor_011.tif,tumor,macro,0
tumor_012.tif,tumor,micro,0
tumor_013.tif,tumor,micro,0
tumor_017.tif,tumor,micro,0
tumor_018.tif,tumor,macro,0
tumor_020.tif,tumor,macro,0
tumor_021.tif,tumor,macro,0
tumor_022.tif,tumor,micro,0
tumor_023.tif,tumor,micro,0
tumor_024.tif,tumor,micro,0
tumor_026.tif,tumor,macro,0
tumor_027.tif,tumor,micro,0
tumor_028.tif,tumor,micro,0
tumor_029.tif,tumor,macro,0
tumor_030.tif,tumor,micro,0
tumor_031.tif,tumor,macro,0
tumor_032.tif,tumor,micro,0
tumor_033.tif,tumor,macro,0
tumor_034.tif,tumor,macro,0
tumor_035.tif,tumor,micro,0
tumor_036.tif,tumor,micro,0
tumor_037.tif,tumor,macro,0
tumor_038.tif,tumor,macro,0
tumor_039.tif,tumor,macro,0
tumor_040.tif,tumor,micro,0
tumor_041.tif,tumor,micro,0
tumor_042.tif,tumor,macro,0
tumor_043.tif,tumor,micro,0
tumor_044.tif,tumor,macro,0
tumor_046.tif,tumor,macro,0
tumor_047.tif,tumor,macro,0
tumor_048.tif,tumor,micro,0
tumor_049.tif,tumor,micro,0
tumor_050.tif,tumor,micro,0
tumor_051.tif,tumor,macro,0
tumor_052.tif,tumor,macro,0
tumor_053.tif,tumor,micro,0
tumor_054.tif,tumor,macro,0
tumor_055.tif,tumor,macro,0
tumor_056.tif,tumor,macro,0
tumor_058.tif,tumor,macro,0
tumor_059.tif,tumor,micro,0
tumor_060.tif,tumor,micro,0
tumor_062.tif,tumor,micro,0
tumor_063.tif,tumor,micro,0
tumor_064.tif,tumor,macro,0
tumor_065.tif,tumor,micro,0
tumor_067.tif,tumor,micro,0
tumor_069.tif,tumor,micro,0
tumor_070.tif,tumor,micro,0
tumor_072.tif,tumor,macro,1
tumor_073.tif,tumor,micro,1
tumor_075.tif,tumor,macro,1
tumor_076.tif,tumor,macro,1
tumor_077.tif,tumor,micro,1
tumor_078.tif,tumor,macro,1
tumor_079.tif,tumor,macro,1
tumor_081.tif,tumor,micro,1
tumor_082.tif,tumor,macro,1
tumor_083.tif,tumor,micro,1
tumor_084.tif,tumor,macro,1
tumor_085.tif,tumor,macro,1
tumor_087.tif,tumor,micro,1
tumor_088.tif,tumor,macro,1
tumor_090.tif,tumor,macro,1
tumor_092.tif,tumor,macro,1
tumor_093.tif,tumor,micro,1
tumor_094.tif,tumor,macro,1
tumor_095.tif,tumor,macro,1
tumor_097.tif,tumor,micro,1
tumor_098.tif,tumor,micro,1
tumor_103.tif,tumor,micro,1
tumor_104.tif,tumor,macro,1
tumor_105.tif,tumor,macro,1
tumor_106.tif,tumor,micro,1
tumor_107.tif,tumor,micro,1
tumor_110.tif,tumor,macro,1
tumor_111.tif,tumor,micro,0
